,Id,Nummer,Titels,Initialen,Tussenvoegsel,Achternaam,Voornamen,Roepnaam,Geslacht,Functie,Geboortedatum,Geboorteplaats,Geboorteland,Overlijdensdatum,Overlijdensplaats,Woonplaats,Land,ContentType,ContentLength,GewijzigdOp,ApiGewijzigdOp,Verwijderd
139,3f9dfb88-a78d-435b-bf25-b58e6669f523,1256.0,,G,,Diepen,,,man,Oud Kamerlid,1834-08-04T00:00:00+02:00,-,,1918-10-16,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:14.554267Z,False
140,950b6f99-d213-4d9c-8550-b5d1ca289d5c,1304.0,,SR,van,Franck,,,man,Oud Kamerlid,1794-09-23T00:00:00+02:00,-,,1867-12-01,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.7886846Z,False
141,f39d3a99-f4a3-425b-88d8-b6129e43405d,507.0,,MM,,Versnel-Schmitz,Machteld Maria,Machteld,vrouw,Oud Kamerlid,1940-09-08T00:00:00+02:00,De Bilt,Nederland,2019-07-29,Utrecht,Utrecht,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:32:11.1293862Z,False
142,2fbb9d83-087c-4325-89c1-b65a06097eac,,,,,,,,,,,,,,,,,,,,,
143,9b4920a5-61b1-4368-91f1-b65ecf141b74,,,,,,,,,,,,,,,,,,,,,
144,60f4400f-e86f-4920-8a49-b65f2a300a5c,737.0,,JLG,,Seijben,,,man,Oud Kamerlid,1932-01-18T00:00:00+01:00,Belfeld,,1978-07-28,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:33:16.880376Z,False
145,10eeecd7-86d3-462c-b305-b66c787d6c9b,2600.0,drs.,K.C.J.,,Straus,Karin Cornelia Josepha,Karin,vrouw,Oud Kamerlid,1971-04-06T00:00:00+02:00,Roermond,Nederland,,,Roermond,NL,image/jpeg,4878.0,2020-11-20T13:29:40+01:00,2020-11-20T12:42:20.3698324Z,False
146,56a86879-60e4-4cdb-b5f1-b66d6d090798,4922.0,,J.P.,,Kwint,Peter,Peter,man,Tweede Kamerlid,1984-12-19T00:00:00+01:00,Sliedrecht,Nederland,,,Amsterdam,NL,image/jpeg,27800.0,2020-11-20T13:29:40+01:00,2020-11-20T12:43:15.9327976Z,False
147,78c9fd18-e9f5-4bb5-bcf5-b66fd60fc42a,,,,,,,,,,,,,,,,,,,,,
148,057fc6e9-356c-4b52-8a5c-b67ca2a9a00b,2547.0,,H.T.M.,,Pieper,,Hein,man,Oud Kamerlid,1962-05-10T00:00:00+02:00,Nieuwe-Schoonebeek,,,,Schalkhaar,NL,image/jpeg,4705.0,2020-11-20T13:29:40+01:00,2020-11-20T12:42:15.3072902Z,False
149,56db30b8-4226-422a-a33b-b687f76b7798,,,,,,,,,,,,,,,,,,,,,
150,b1eccc1d-0664-4dc2-92a3-b699574dc928,97.0,drs.,D,,Roemers,,,man,Oud Kamerlid,1915-02-06T00:00:00+01:00,Haarlem,,1983-02-05,Laren,Rhenen,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:30:34.2685777Z,False
151,08f62fd2-b012-4ccc-bb09-b6c014a90202,2033.0,,J,,Stoffel,,,man,Oud Kamerlid,1851-12-28T00:00:00+01:00,-,,1921-02-24,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:39:21.8527079Z,False
152,672e5ba4-b658-42b8-8d44-b6e561a85cc2,689.0,drs.,JG,,Bruggeman,,,man,Oud Kamerlid,1927-02-28T00:00:00+01:00,'s-Gravenhage,,1993-04-09,,Rijswijk,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:33:16.7553569Z,False
153,d8bcfd81-fb5d-4c5c-a03e-b709c4e7cf9f,392.0,,T,,Laan,,,man,Oud Kamerlid,1922-04-01T00:00:00+02:00,Venhuizen,,1990-09-12,,Hoorn,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:40.1445546Z,False
154,23f702d7-f63e-4c33-be69-b709f2dbc21b,1784.0,,JJ,van,Mulken,,,man,Oud Kamerlid,1796-06-29T00:00:00+02:00,-,,1879-10-21,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:38:20.9928259Z,False
155,dd275333-2ac7-449f-ae27-b716f40f4d02,1313.0,,J,van,Gelderen,,,man,Oud Kamerlid,1891-03-10T00:00:00+01:00,-,,1940-05-14,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:36:19.7730625Z,False
156,99ab8a02-4aea-4bf5-828b-b7266777ff1b,1184.0,,JB,,Bomans,,,man,Oud Kamerlid,1885-05-11T00:00:00+02:00,-,,1941-03-20,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:35:23.6632246Z,False
157,bf70b6af-81cf-41dc-9296-b72841add904,2699.0,,M.H.M.,,Faber-van de Klashorst (PVV),Marjolein,Marjolein,vrouw,Eerste kamerlid,1960-06-16T00:00:00+02:00,Amersfoort,,,,Hoevelaken,NL,image/jpeg,29416.0,2020-11-20T13:29:40+01:00,2020-11-20T12:43:15.917174Z,False
158,40c47315-0a92-43f4-822f-b7295420486a,,,,,,,,,,,,,,,,,,,,,
159,88198ae6-d4fb-4c9d-ba33-b72c012974ae,705.0,,HJ,van,Ommeren-Averink,,,vrouw,Oud Kamerlid,1913-05-28T00:00:00+02:00,Enschede,,1991-02-01,Amsterdam,Haarlem,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:33:16.7241104Z,False
160,099a90e0-0ad3-42f1-a152-b7300df88183,1017.0,dr.,C,,Hermann,Corrie,Corrie,vrouw,Oud Kamerlid,1932-08-04T00:00:00+02:00,Amersfoort,,,,Castricum,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:34:27.7720384Z,False
161,f36906e7-533c-4947-99a6-b7328cc607a9,1510.0,,JG,,Hinlopen,,,man,Oud Kamerlid,1793-08-15T00:00:00+02:00,-,,1856-04-24,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:37:20.3985685Z,False
162,75b0cd1e-7320-416e-84e7-b73852232707,463.0,,JJA,,Berger,,,man,Oud Kamerlid,1918-09-18T00:00:00+02:00,Middelburg,,1978-09-06,'s-Gravenhage,Paterswolde,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:32:10.8012578Z,False
163,88bf9f29-aa91-4ddd-ad2d-b73dfe6706ef,4933.0,,A.,,Kuik,Anne,Anne,vrouw,Tweede Kamerlid,1987-01-22T00:00:00+01:00,Emmen,Nederland,,,Groningen,NL,image/jpeg,35122.0,2020-11-20T13:29:40+01:00,2020-11-20T12:43:15.9327976Z,False
164,e9db7a09-ff42-4f4f-900a-b73e043fd41b,,,,,,,,,,,,,,,,,,,,,
165,53d1fab4-f2b0-41f0-ac29-b77019205dba,252.0,mr.,JM,,Corver-van Haaften,,,vrouw,Oud Kamerlid,1917-04-28T00:00:00+02:00,Est en Opijnen,,1992-03-18,Zeist,Zeist,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:29.9100263Z,False
166,aa0272f6-6e3c-41f7-b040-b774b30d2196,2751.0,,V.A.,,Bergkamp,Vera Alida,Vera,vrouw,Tweede Kamerlid,1971-06-01T00:00:00+02:00,Amsterdam,Nederland,,,Amsterdam,NL,image/jpeg,35034.0,2020-11-20T13:29:40+01:00,2020-11-20T12:43:15.8390459Z,False
167,2a55b8a4-2b88-4839-97cf-b77b714282d0,297.0,ir.,AJ,,Voortman,,Arend,man,Oud Kamerlid,1930-09-22T00:00:00+02:00,Gelselaar,,2012-01-02,Ruurlo,Ruurlo,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:40.1133068Z,False
168,3dffa421-d7df-4224-a7b4-b7860e308cd9,1001.0,,K,,Eisses-Timmerman,,,vrouw,Oud Kamerlid,1944-02-10T00:00:00+01:00,Dieven,,2001-04-26,Dwingeloo,Dwingeloo,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:34:27.7720384Z,False
